"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"495","356.0","interact_with","PWY-5154 (interact_with) PROLINE-SYN","false","interact_with","PWY-5154 (interact_with) PROLINE-SYN"
"496","1645.08351561","OUTGOING","ARGSYNBSUB-PWY (OUTGOING) PWY0-162","false","OUTGOING","ARGSYNBSUB-PWY (OUTGOING) PWY0-162"
"497","1728.58351561","interact_with","ARGSYNBSUB-PWY (interact_with) GLUTAMATE-SYN","false","interact_with","ARGSYNBSUB-PWY (interact_with) GLUTAMATE-SYN"
"498","1589.95519481","INCOMING","PWY0-162 (INCOMING) PRPP-BIOSYNTHESIS","false","INCOMING","PWY0-162 (INCOMING) PRPP-BIOSYNTHESIS"
"499","137.94736842","Contains","PWY0-162 (Contains) PWY-5686","false","Contains","PWY0-162 (Contains) PWY-5686"
"500","256.07619048","Contains","PWY0-162 (Contains) PWY-7176","false","Contains","PWY0-162 (Contains) PWY-7176"
"504","353.0","interact_with","PWY-5155 (interact_with) PANTO-PWY","false","interact_with","PWY-5155 (interact_with) PANTO-PWY"
"505","2076.0","interact_with","PANTO-PWY (interact_with) VALSYN-PWY","false","interact_with","PANTO-PWY (interact_with) VALSYN-PWY"
"506","356.0","INCOMING","PANTO-PWY (INCOMING) BETA-ALANINE-BIOSYNTHESIS","false","INCOMING","PANTO-PWY (INCOMING) BETA-ALANINE-BIOSYNTHESIS"
"507","353.0","interact_with","PANTO-PWY (interact_with) COA-PWY","false","interact_with","PANTO-PWY (interact_with) COA-PWY"
"508","2076.0","interact_with","PANTO-PWY (interact_with) VALSYN-PWY","false","interact_with","PANTO-PWY (interact_with) VALSYN-PWY"
"509","3.0","Contains","PANTOSYN-PWY (Contains) PWY-5155","false","Contains","PANTOSYN-PWY (Contains) PWY-5155"
"510","3.0","Contains","PANTOSYN-PWY (Contains) COA-PWY","false","Contains","PANTOSYN-PWY (Contains) COA-PWY"
"511","352.0","Contains","PANTOSYN-PWY (Contains) PANTO-PWY","false","Contains","PANTOSYN-PWY (Contains) PANTO-PWY"
"512","416.46969697","interact_with","PWY-6292 (interact_with) SERSYN-PWY","false","interact_with","PWY-6292 (interact_with) SERSYN-PWY"
"513","53.86363636","Contains","PWY-6292 (Contains) HOMOCYSDEGR-PWY","false","Contains","PWY-6292 (Contains) HOMOCYSDEGR-PWY"
"514","118.33333333","Contains","PWY-6292 (Contains) METHIONINE-DEG1-PWY","false","Contains","PWY-6292 (Contains) METHIONINE-DEG1-PWY"
"515","5144.22349054","interact_with","SERSYN-PWY (interact_with) TRPSYN-PWY","false","interact_with","SERSYN-PWY (interact_with) TRPSYN-PWY"
"516","354.0","interact_with","SERSYN-PWY (interact_with) GLYSYN-PWY","false","interact_with","SERSYN-PWY (interact_with) GLYSYN-PWY"
"517","3292.83093719","interact_with","SERSYN-PWY (interact_with) CYSTSYN-PWY","false","interact_with","SERSYN-PWY (interact_with) CYSTSYN-PWY"
"518","147.77777778","Contains","SULFATE-CYS-PWY (Contains) CYSTSYN-PWY","false","Contains","SULFATE-CYS-PWY (Contains) CYSTSYN-PWY"
"519","390.87784993","Contains","SULFATE-CYS-PWY (Contains) SERSYN-PWY","false","Contains","SULFATE-CYS-PWY (Contains) SERSYN-PWY"
"520","220.43340548","Contains","SULFATE-CYS-PWY (Contains) SO4ASSIM-PWY","false","Contains","SULFATE-CYS-PWY (Contains) SO4ASSIM-PWY"
"521","1054.08137009","interact_with","HOMOCYSDEGR-PWY (interact_with) SERSYN-PWY","false","interact_with","HOMOCYSDEGR-PWY (interact_with) SERSYN-PWY"
"522","1007.94500646","interact_with","HOMOCYSDEGR-PWY (interact_with) PWY-5344","false","interact_with","HOMOCYSDEGR-PWY (interact_with) PWY-5344"
"523","237.66666667","interact_with","HOMOCYSDEGR-PWY (interact_with) METHIONINE-DEG1-PWY","false","interact_with","HOMOCYSDEGR-PWY (interact_with) METHIONINE-DEG1-PWY"
"524","100.75341048","interact_with","PWY-5344 (interact_with) SO4ASSIM-PWY","false","interact_with","PWY-5344 (interact_with) SO4ASSIM-PWY"
"525","877.90476614","interact_with","PWY-5344 (interact_with) HOMOSERSYN-PWY","false","interact_with","PWY-5344 (interact_with) HOMOSERSYN-PWY"
"526","5529.57573479","interact_with","GLUTSYN-PWY (interact_with) GLNSYN-PWY","false","interact_with","GLUTSYN-PWY (interact_with) GLNSYN-PWY"
"527","5655.58351561","interact_with","GLNSYN-PWY (interact_with) GLUTAMATE-SYN","false","interact_with","GLNSYN-PWY (interact_with) GLUTAMATE-SYN"
"528","8.0","Contains","AMMASSIM-PWY (Contains) GLUTSYN-PWY","false","Contains","AMMASSIM-PWY (Contains) GLUTSYN-PWY"
"529","2779.92228298","Contains","AMMASSIM-PWY (Contains) GLNSYN-PWY","false","Contains","AMMASSIM-PWY (Contains) GLNSYN-PWY"
"530","354.0","interact_with","GLYSYN-PWY (interact_with) SERSYN-PWY","false","interact_with","GLYSYN-PWY (interact_with) SERSYN-PWY"
"531","1133.4047619","interact_with","HISTSYN-PWY (interact_with) IMP-BIOSYNTHESIS","false","interact_with","HISTSYN-PWY (interact_with) IMP-BIOSYNTHESIS"
"532","1335.23809524","INCOMING","HISTSYN-PWY (INCOMING) PRPP-BIOSYNTHESIS","false","INCOMING","HISTSYN-PWY (INCOMING) PRPP-BIOSYNTHESIS"
"533","311.23058345","Contains","PWY-3001 (Contains) ILEUSYN-PWY","false","Contains","PWY-3001 (Contains) ILEUSYN-PWY"
"534","618.23058345","Contains","PWY-3001 (Contains) HOMOSERSYN-PWY","false","Contains","PWY-3001 (Contains) HOMOSERSYN-PWY"
"535","3.0","Contains","PWY-3001 (Contains) HOMOSER-THRESYN-PWY","false","Contains","PWY-3001 (Contains) HOMOSER-THRESYN-PWY"
"536","331.23058345","interact_with","ILEUSYN-PWY (interact_with) HOMOSER-THRESYN-PWY","false","interact_with","ILEUSYN-PWY (interact_with) HOMOSER-THRESYN-PWY"
"537","331.23058345","interact_with","HOMOSER-THRESYN-PWY (interact_with) ILEUSYN-PWY","false","interact_with","HOMOSER-THRESYN-PWY (interact_with) ILEUSYN-PWY"
"538","617.23058345","interact_with","HOMOSER-THRESYN-PWY (interact_with) HOMOSERSYN-PWY","false","interact_with","HOMOSER-THRESYN-PWY (interact_with) HOMOSERSYN-PWY"
"539","274.16666667","interact_with","LEUSYN-PWY (interact_with) VALSYN-PWY","false","interact_with","LEUSYN-PWY (interact_with) VALSYN-PWY"
"540","2193.52904814","OUTGOING","DAPLYSINESYN-PWY (OUTGOING) HOMOSERSYN-PWY","false","OUTGOING","DAPLYSINESYN-PWY (OUTGOING) HOMOSERSYN-PWY"
"541","211.13809524","Contains","METSYN-PWY (Contains) HOMOSER-METSYN-PWY","false","Contains","METSYN-PWY (Contains) HOMOSER-METSYN-PWY"
"542","144.86190476","Contains","METSYN-PWY (Contains) HOMOSERSYN-PWY","false","Contains","METSYN-PWY (Contains) HOMOSERSYN-PWY"
"543","211.13809524","Contains","PWY-5347 (Contains) HOMOSER-METSYN-PWY","false","Contains","PWY-5347 (Contains) HOMOSER-METSYN-PWY"
"544","144.86190476","Contains","PWY-5347 (Contains) HOMOSERSYN-PWY","false","Contains","PWY-5347 (Contains) HOMOSERSYN-PWY"
"545","86.5","Contains","PWY-5345 (Contains) HSERMETANA-PWY","false","Contains","PWY-5345 (Contains) HSERMETANA-PWY"
"546","326.20579143","Contains","PWY-5345 (Contains) HOMOSERSYN-PWY","false","Contains","PWY-5345 (Contains) HOMOSERSYN-PWY"
"547","59.29365079","Contains","PWY-5345 (Contains) PWY-5344","false","Contains","PWY-5345 (Contains) PWY-5344"
"548","194.1740454","Contains","PWY-5345 (Contains) SO4ASSIM-PWY","false","Contains","PWY-5345 (Contains) SO4ASSIM-PWY"
"549","1864.51787803","interact_with","HOMOSER-METSYN-PWY (interact_with) CYSTSYN-PWY","false","interact_with","HOMOSER-METSYN-PWY (interact_with) CYSTSYN-PWY"
"550","1829.67364244","interact_with","HOMOSER-METSYN-PWY (interact_with) HOMOSERSYN-PWY","false","interact_with","HOMOSER-METSYN-PWY (interact_with) HOMOSERSYN-PWY"
"551","269.5","interact_with","HSERMETANA-PWY (interact_with) PWY-5344","false","interact_with","HSERMETANA-PWY (interact_with) PWY-5344"
"552","356.0","Contains","PWY-6151 (Contains) SAM-PWY","false","Contains","PWY-6151 (Contains) SAM-PWY"
"553","356.0","interact_with","PWY-6755 (interact_with) SAM-PWY","false","interact_with","PWY-6755 (interact_with) SAM-PWY"
"555","333.0","Contains","THRESYN-PWY (Contains) HOMOSERSYN-PWY","false","Contains","THRESYN-PWY (Contains) HOMOSERSYN-PWY"
"556","23.0","Contains","THRESYN-PWY (Contains) HOMOSER-THRESYN-PWY","false","Contains","THRESYN-PWY (Contains) HOMOSER-THRESYN-PWY"
"557","52.2","OUTGOING","PHESYN (OUTGOING) TYRSYN","false","OUTGOING","PHESYN (OUTGOING) TYRSYN"
"558","173.8","interact_with","PHESYN (interact_with) ARO-PWY","false","interact_with","PHESYN (interact_with) ARO-PWY"
"559","52.2","OUTGOING","TYRSYN (OUTGOING) PHESYN","false","OUTGOING","TYRSYN (OUTGOING) PHESYN"
"560","2636.49752747","interact_with","TYRSYN (interact_with) ARO-PWY","false","interact_with","TYRSYN (interact_with) ARO-PWY"
"561","356.0","INCOMING","PROSYN-PWY (INCOMING) GLUTAMATE-SYN","false","INCOMING","PROSYN-PWY (INCOMING) GLUTAMATE-SYN"
