# 中文分词示例词典
# 格式：词 [词频] [词性]
# 以 # 开头的行为注释
# 制表符或空格分隔

我	100000	r
你	90000	r
他	85000	r
她	40000	r
我们	50000	r
你们	30000	r
他们	35000	r
自己	20000	r
是	200000	v
的	500000	u
了	150000	u
在	120000	p
和	100000	c
与	60000	c
或	30000	c
也	40000	d
都	35000	d
就	38000	d
还	32000	d
不	80000	d
没	25000	d
中国	50000	ns
中文	20000	n
分词	8000	n
自然	15000	a
语言	18000	n
处理	16000	v
自然语言	5000	n
自然语言处理	3000	n
人工智能	8000	n
机器学习	6000	n
深度学习	5000	n
神经网络	4500	n
信息检索	3000	n
计算机	20000	n
科学	12000	n
技术	18000	n
研究	12000	v
开发	10000	v
应用	11000	v
北京	30000	ns
上海	25000	ns
广州	18000	ns
深圳	20000	ns
学习	15000	v
算法	8000	n
数据	14000	n
结构	9000	n
程序	10000	n
设计	11000	v
系统	13000	n
网络	12000	n
今天	20000	t
明天	15000	t
昨天	12000	t
现在	18000	t
未来	10000	t
时间	16000	n
因为	20000	c
所以	18000	c
虽然	12000	c
但是	18000	c
如果	15000	c
那么	10000	c
学生	15000	n
老师	12000	n
朋友	14000	n
工作	18000	v
生活	16000	n
世界	14000	n
喜欢	16000	v
热爱	8000	v
希望	12000	v
梦想	8000	n
努力	10000	v
成功	12000	v
改变	8000	v
基础	9000	n
技术	18000	n
重要	10000	a
分支	5000	n
首都	5000	n
天气	8000	n
公园	5000	n
散步	4000	v
正在	8000	d
其	6000	r
是	200000	v
的	500000	u
