X,Y,Z
238,93,12.50634694533821
229,77,13.053891736172668
229,78,13.281668606134735
175,21,13.234550581961352
175,22,13.670889708204964
226,75,12.90306171413162
229,79,13.230679303781375
229,76,13.431050489511238
238,92,12.728397630024364
238,94,13.047786845887723
241,103,13.795319591468646
172,21,13.352809880712622
226,76,13.369824755979907
241,104,13.759634993112531
226,74,12.196045811249443
178,22,13.372035000556238
178,23,13.919034527123879
175,23,13.704204506099897
196,40,13.435894758974916
175,20,12.602131457716323
172,20,13.481245325096623
181,24,11.366936156195461
187,32,13.248858459735997
229,80,12.431050827150564
226,77,13.537398181858165
202,48,13.823746919057605
190,33,12.4992399941909
238,91,13.421301465597594
241,102,13.674796581716741
187,31,13.266908821811883
181,23,13.519610078335814
202,47,14.011090421285555
184,30,13.168799050466179
238,95,13.688560717302472
199,44,13.546930429390313
178,24,13.726140405527861
241,105,14.173359482747848
196,39,13.947456362836396
205,50,12.686941565246173
181,25,11.597094820446356
178,21,13.976714495917136
196,41,13.881385836779518
223,73,12.93158818830655
235,87,13.399830896135974
199,43,13.013934586232192
190,34,13.433897588389554
172,22,13.98337218231423
229,75,13.66136386393967
199,45,13.440004170767711
205,51,12.894387941402565
193,37,13.95419455459163
184,29,12.80325555393884
184,31,13.076801039082925
193,38,14.539646902495237
235,86,13.123243454622349
223,72,12.941491027692765
139,7,13.961671953756607
181,26,13.203878785724005
190,32,13.824642922344745
208,54,11.99549334664083
226,78,11.81077880807133
238,90,13.21140963705246
235,88,14.196744852497877
205,49,13.516486536581969
199,42,13.313095972626412
172,19,13.531751666381734
187,33,13.46196399525831
226,73,13.073277777081607
175,24,14.473886025740121
202,49,13.277561759573056
223,74,14.154037542762445
211,57,13.834448873066126
208,53,13.584185485718798
208,55,13.996641131606111
211,58,13.089441684381718
178,25,13.118013919807021
241,106,14.216245446065411
241,101,13.044316756400919
139,6,13.383187657488865
181,27,13.640942719406143
136,6,14.166705382709107
202,46,13.779646511599847
190,35,13.378564886984602
229,81,14.046926139933655
238,96,13.285031476008077
193,36,13.68806751994204
199,46,12.215694073376891
181,22,12.783863184089093
184,28,13.211678870999528
196,42,13.990688520255837
136,7,13.75498289909052
223,71,14.020205869361577
139,8,14.007713610725267
187,30,13.362533504437572
205,52,14.364532485664457
193,39,13.869294872728258
235,85,13.226139359882405
238,89,13.610896876594952
235,89,13.921462140223277
175,19,13.06386929965759
211,59,14.000127356437726
181,28,13.089607814146145
178,20,13.316195812101403
241,107,13.637898951356487
196,38,13.07483760771166
208,52,13.338187065793253
208,56,13.219184448138618
211,56,13.69759024169851
199,41,13.403722520348525
232,83,13.223087067589374
244,114,13.270746667294773
244,119,12.030594739334122
244,115,13.334556091531402
244,118,13.966602501738457
