X,Y,Z
235,126,13.034242133563966
235,127,13.524530936925125
235,128,13.599334896428097
76,90,13.058784843996415
76,91,12.534253241453298
79,28,11.717251176981987
79,29,13.850153941830683
79,30,11.378541997833134
79,32,12.632060150958267
79,33,13.063855438852674
79,34,11.930260535509271
79,35,11.770270883596949
79,36,12.19639062700033
79,37,12.867080339659443
79,38,12.888135823190641
79,39,12.9034388151803
79,40,12.875567086754756
79,41,12.88682577786112
79,42,13.522018655214964
79,43,12.44233028221738
79,44,12.48613984047083
79,45,12.491044373108162
79,46,12.599461519657455
79,47,11.804107729802148
79,48,11.766354164993256
79,49,13.02921202098681
79,50,13.326370462232353
79,51,13.396562941648964
79,52,13.918549537955998
79,53,12.840686378165953
79,54,13.141330234641758
79,55,12.733768939046174
79,92,12.036575950744442
214,122,13.623461644436738
214,123,13.135214186976256
214,124,13.093533733302891
214,125,13.277573485920566
214,126,13.200053657032468
214,127,12.973303891958768
214,128,13.107550634138454
217,85,12.19877440011389
217,86,12.518209569203416
217,87,12.5776167109585
217,88,12.660834634836867
217,89,11.992050653133614
217,90,12.815479084795356
217,123,12.719979454075457
190,49,12.996896167739258
190,50,12.790779883890524
190,51,12.836468853044236
190,52,12.79447231627209
190,64,13.152320215499397
190,65,12.606870044129888
190,79,12.959476695626723
190,80,13.052999844721324
190,81,13.276135234811688
190,82,12.29065440242998
190,83,12.845794797191415
190,84,12.413881094163667
190,85,12.740419722386582
190,86,12.058031260614653
190,87,11.539740718361976
16,123,12.686778333214907
16,124,11.809329891497743
16,125,11.914038679822912
19,104,12.893141373419958
19,105,12.787094747286046
19,106,12.33985016791172
19,107,12.48639956788904
19,108,12.87952468428113
19,109,12.993430130762322
19,110,12.696375919025733
199,66,12.6560967899391
199,67,12.884553342530706
199,68,12.772082828748427
199,69,12.883391439335481
199,70,12.644914597330756
199,71,13.170183716587102
199,72,13.183500576900919
199,77,12.652947480488232
199,78,12.856967138282263
199,79,12.982082916345771
199,80,12.80103815616726
199,81,12.640881671958093
199,82,12.39616342319614
199,83,12.506993013283813
199,84,13.415891009235565
199,85,13.528392928520175
199,86,13.531162783523428
199,87,12.762544147492449
199,88,13.04584195740387
199,89,13.104569190297305
199,90,12.75860054675173
199,91,13.31256883083352
199,92,12.732129418079946
199,93,12.996615142697811
199,94,12.95399638819458
199,95,12.85920414252871
199,96,12.848897521204838
199,97,12.55305804050541
199,98,11.787169925315306
199,99,11.588969665529689
199,100,12.667163883513977
199,101,12.45140540751147
199,102,12.572369260199057
199,103,12.243944622406355
199,104,11.973092837786295
199,105,12.368958074015376
199,106,13.004948550308503
199,107,12.909506527259893
199,108,12.794071974080966
199,109,12.89782690763416
199,110,13.10842693217022
199,111,13.492383517503873
199,112,13.055636192837287
